HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Fluminense;Corinthians;19.10.2023 21:30;3;3;1.92;2.14;69%;31%;26;6;10;3;9;3;7;0;15;15;15;1;2;2;22;7;0;7;14;15;2;0;7;3;760;233;661;179;170;53;103;14
Santos;Red Bull Bragantino;19.10.2023 20:00;1;3;1.84;2.47;43%;57%;26;14;7;7;15;2;4;5;9;12;5;4;5;0;21;13;4;6;7;8;-;-;4;1;370;567;289;477;106;138;47;39
Cruzeiro;Flamengo;19.10.2023 19:00;0;2;0.31;1.86;44%;56%;10;8;4;2;4;6;2;0;15;23;9;3;3;1;15;21;0;4;19;11;-;-;3;2;390;529;312;451;103;105;52;28
Palmeiras;Atlético-MG;19.10.2023 19:00;0;2;0.69;0.89;54%;46%;11;12;4;3;5;6;2;3;17;18;7;2;0;0;15;9;1;4;17;19;-;-;6;3;502;405;406;315;122;91;76;27
Bahia;Internacional;18.10.2023 21:30;1;0;1.94;0.59;47%;53%;13;13;4;1;6;9;3;3;14;17;5;3;4;0;18;26;1;3;14;13;0;1;1;1;368;428;303;360;94;115;45;50
Goiás;São Paulo;18.10.2023 21:30;2;0;0.54;0.49;31%;69%;7;8;3;3;4;3;0;2;14;17;6;3;0;0;15;21;3;1;18;15;-;-;4;3;231;703;152;638;54;152;43;83
Vasco;Fortaleza;18.10.2023 21:30;1;0;1.92;0.78;50%;50%;16;13;6;5;8;8;2;0;8;7;6;6;1;1;25;18;5;5;7;9;-;-;3;2;389;438;317;367;122;98;42;49
América-MG;Botafogo;18.10.2023 20:00;1;2;3.07;0.47;46%;54%;24;6;8;2;15;3;1;1;14;10;12;1;4;0;19;26;0;7;5;15;-;-;1;1;394;446;308;375;106;115;68;43
Coritiba;Cuiabá;18.10.2023 20:00;0;3;1.29;0.46;57%;43%;17;8;3;6;10;1;4;1;13;15;4;4;2;2;40;29;3;3;14;11;-;-;0;2;539;339;446;247;142;105;65;24
Grêmio;Athletico-PR;18.10.2023 19:00;1;2;1.74;0.95;46%;54%;11;20;5;6;4;9;2;5;13;9;4;8;1;1;21;24;4;4;9;13;1;0;2;6;471;478;375;376;114;140;55;61
Cuiabá;Cruzeiro;14.10.2023 21:00;0;0;0.83;0.46;49%;51%;8;7;2;2;5;3;1;2;22;12;5;5;2;1;25;17;2;2;10;20;-;-;0;3;438;439;364;369;99;97;64;57
